policy,scenario_id,seed,shield_enabled,success,collision,terminated,truncated,failure_type,episode_time,steps,path_length,path_length_ratio,minimum_clearance,mean_cross_track_error,max_cross_track_error,idle_time,angular_oscillation,action_smoothness,shield_pass,shield_clamp,shield_stop,shield_interventions,unsafe_without_shield,shield_sustained_time,safety_cost,inference_ms,simulation_steps_per_second
lite_rule_baseline,S3,1001,False,1,0,1,0,,8.949999999999854,179,10.162428332882333,0.9744789539138554,0.05728731364171619,0.007670245910164895,0.04633134003427089,0.0,1,0.00210104463621974,179,0,0,0,2,0.0,6.773496319717086,0.023958771015200685,977.3483147941186
bc,S3,1001,False,0,1,1,0,COLLISION_STATIC,10.08999999999983,202,11.191859918761264,1.0731915235943994,-0.003845620511187975,0.14982081413246717,0.29513187698884613,0.0,3,0.0007474081940017641,202,0,0,0,16,0.0,3.679793670281761,0.05914271781029408,948.7710596601097
ppo,S3,1001,False,0,0,0,1,TIMEOUT,18.000000000000014,360,5.863795484040685,0.5622814845112983,0.642499976562566,0.278588853630992,0.48662660420748216,0.0,0,0.0019459478789940476,360,0,0,0,0,0.0,0.0,0.07103044995852138,926.0750911838086
bc_dagger,S3,1001,False,0,1,1,0,COLLISION_STATIC,3.8099999999999627,77,4.071562560573096,0.390423616763333,-0.011322187759745306,0.8619385224889968,1.9554800795492144,0.0,1,0.00013525766553357244,77,0,0,0,14,0.0,2.1759489500643134,0.05916663628470685,956.1179129237596
lite_rule_baseline,S3,1001,True,1,0,1,0,,9.349999999999845,187,10.165844292807755,0.974806511555169,0.04423418174580007,0.006540259588486886,0.04722815056235838,0.0,1,0.0022814322728663683,185,2,0,2,2,0.05,8.681161535743502,0.023581080274397436,979.3613987644411
bc,S3,1001,True,0,0,0,1,TIMEOUT,18.000000000000014,360,11.160706063068648,1.0702041690260535,0.0353076212868183,0.20206057575091418,0.29477059636861885,5.899999999999987,3,0.00042311465949751437,208,61,91,152,152,6.95,40.00809395652418,0.059736005581119876,904.5120089121892
ppo,S3,1001,True,0,0,0,1,TIMEOUT,18.000000000000014,360,5.863795484040685,0.5622814845112983,0.642499976562566,0.278588853630992,0.48662660420748216,0.0,0,0.0019459478789940476,360,0,0,0,0,0.0,0.0,0.07179722772687253,922.6226118768136
bc_dagger,S3,1001,True,0,0,0,1,SHIELD_SATURATION,18.000000000000014,360,4.0159962498920105,0.38509534299532516,0.03590766709265625,1.6830265093417798,1.918001538651007,11.750000000000032,1,0.00010537195339566097,90,63,207,270,270,12.75,69.11415852794205,0.060391236148562816,885.4853281630451
lite_rule_baseline,S4,1000,False,1,0,1,0,,8.299999999999867,166,9.761245329380042,0.9761245329380042,0.18999999999999984,0.0,0.0,0.0,0,0.0004686947213485837,166,0,0,0,0,0.0,4.242549167456301,0.023978379573806257,987.2331250174083
bc,S4,1000,False,1,0,1,0,,8.19999999999987,164,9.798782252608717,0.9798782252608718,0.08545606912008752,0.03604147323611273,0.10454393087991232,0.0,0,0.00017555667727719992,164,0,0,0,0,0.0,7.966831498133853,0.05892707310810759,948.9379333338492
ppo,S4,1000,False,0,0,0,1,TIMEOUT,18.000000000000014,360,6.789434733946639,0.678943473394664,0.642499976562566,0.32767781238670757,0.8104367004038422,0.0,0,0.0034131950233131647,360,0,0,0,0,0.0,0.0,0.07086921117055074,931.6404522279912
bc_dagger,S4,1000,False,1,0,1,0,,12.099999999999786,242,10.597355867156121,1.0597355867156122,0.642499976562566,0.8455453812661616,1.7496732246356586,0.0,1,0.00022191459720488638,242,0,0,0,0,0.0,0.0,0.05937067763166731,943.4287160796259
lite_rule_baseline,S4,1000,True,1,0,1,0,,8.299999999999867,166,9.761245329380042,0.9761245329380042,0.18999999999999984,0.0,0.0,0.0,0,0.0004686947213485837,166,0,0,0,0,0.0,4.242549167456301,0.023439493969521843,986.0724688963735
bc,S4,1000,True,1,0,1,0,,8.19999999999987,164,9.798782252608717,0.9798782252608718,0.08545606912008752,0.03604147323611273,0.10454393087991232,0.0,0,0.00017555667727719992,164,0,0,0,0,0.0,7.966831498133853,0.06744262177895374,906.7536560404596
ppo,S4,1000,True,0,0,0,1,TIMEOUT,18.000000000000014,360,6.789434733946639,0.678943473394664,0.642499976562566,0.32767781238670757,0.8104367004038422,0.0,0,0.0034131950233131647,360,0,0,0,0,0.0,0.0,0.07241062497390278,927.2577069637526
bc_dagger,S4,1000,True,1,0,1,0,,12.099999999999786,242,10.597355867156121,1.0597355867156122,0.642499976562566,0.8455453812661616,1.7496732246356586,0.0,1,0.00022191459720488638,242,0,0,0,0,0.0,0.0,0.05990359509757755,940.8590392988685
lite_rule_baseline,S4,1001,False,1,0,1,0,,8.299999999999867,166,9.761245329380042,0.9761245329380042,0.18999999999999984,0.0,0.0,0.0,0,0.0004686947213485837,166,0,0,0,0,0.0,4.242549167456301,0.02360588556498497,984.0193187907541
