total_timesteps,episode_reward,episode_length,success,collision,safety_cost,minimum_clearance,shield_interventions,policy_loss,value_loss,entropy,approx_kl,eval_success_rate,eval_collision_rate,eval_mean_time
34816,108.25464854231237,168,1,0,0.0,0.642499976562566,0,-0.012808285653591156,1.1161599159240723,-0.16366469860076904,0.033127062022686005,nan,nan,nan
35840,-133.52645903775536,360,0,0,0.265995345391341,0.03400465460865898,242,-0.008127454668283463,0.6328285932540894,-0.16382873058319092,0.03037402033805847,0.6666666666666666,0.0,11.499999999999917
36864,108.36952209336445,166,1,0,0.0,0.642499976562566,1,0.0048453956842422485,0.8864132165908813,-0.1638031005859375,0.010309905745089054,nan,nan,nan
37888,105.45103421443893,163,1,0,0.0,0.642499976562566,0,0.10972009599208832,1.0093293190002441,-0.16377031803131104,0.017341189086437225,nan,nan,nan
38912,104.58083428572249,161,1,0,0.0,0.642499976562566,0,-0.18419258296489716,0.5666701197624207,-0.1638280153274536,0.029789822176098824,nan,nan,nan
39936,105.05872281701069,179,1,0,0.0,0.19810437076557863,0,0.20556002855300903,0.5240666270256042,-0.16392838954925537,0.04598335921764374,nan,nan,nan
40960,102.16494856887259,181,1,0,0.0,0.11283746228043234,0,-0.11835959553718567,0.0782051682472229,-0.16417241096496582,0.03506772592663765,1.0,0.0,8.46666666666653
41984,104.01820345747541,178,1,0,0.0,0.13169177086385803,0,-0.006596621125936508,0.0500350147485733,-0.164300799369812,0.02980358898639679,nan,nan,nan
43008,107.40979237764512,170,1,0,0.0,0.642499976562566,0,-0.01319657638669014,0.7319412231445312,-0.16438806056976318,0.016820065677165985,nan,nan,nan
44032,108.54791161865887,168,1,0,0.0,0.642499976562566,0,0.03647524118423462,0.9163936376571655,-0.1644376516342163,0.015892233699560165,nan,nan,nan
45056,100.70591133678627,190,1,0,0.0,0.05312950503684666,3,-0.03909246250987053,0.7696875929832458,-0.16447746753692627,0.011719899252057076,nan,nan,nan
46080,-132.79242701268254,360,0,0,0.267078247646295,0.03292175235370498,248,0.1575576663017273,1.1534786224365234,-0.16454148292541504,0.020275592803955078,0.6666666666666666,0.0,11.516666666666582
47104,108.08826613341071,167,1,0,0.0,0.6424999960634946,0,0.2989500164985657,0.1683846265077591,-0.16451752185821533,0.018509231507778168,nan,nan,nan
48128,108.5937815715127,162,1,0,0.0,0.6424999872472078,0,-0.026050634682178497,0.09691688418388367,-0.16456997394561768,0.0275720302015543,nan,nan,nan
49152,103.86675756074857,175,1,0,0.0,0.12314369353392018,0,0.14484933018684387,0.11620044708251953,-0.16457641124725342,0.012210012413561344,nan,nan,nan
50176,101.06168539134782,183,1,0,0.0,0.0660023074275235,2,0.01318725198507309,0.10678283870220184,-0.16457271575927734,0.010286753997206688,nan,nan,nan
51200,106.17570322923295,162,1,0,0.0,0.642499976562566,0,-0.026291348040103912,0.34097594022750854,-0.16459250450134277,0.02486710622906685,1.0,0.0,8.249999999999869
52224,104.46200780914876,164,1,0,0.0,0.642499976562566,0,0.11300191283226013,0.08361749351024628,-0.16460609436035156,0.013365310616791248,nan,nan,nan
53248,106.283080384643,161,1,0,0.0,0.642499976562566,0,0.10383807867765427,0.10632117092609406,-0.1646643877029419,0.029886331409215927,nan,nan,nan
54272,-7.840088082357692,360,0,0,0.25355617750334664,0.030276415778023646,86,-0.1820058375597,0.3267538547515869,-0.16466248035430908,0.015215195715427399,nan,nan,nan
55296,100.50667933458067,178,1,0,0.0,0.06915417297569232,1,-0.05688781291246414,0.06660177558660507,-0.16469192504882812,0.013521774671971798,nan,nan,nan
56320,103.16321094171936,173,1,0,0.0,0.12136040938186382,0,-0.05957107990980148,0.06668403744697571,-0.1647735834121704,0.03312484547495842,1.0,0.0,8.283333333333202
57344,105.11124243891959,162,1,0,0.0,0.6424999885518324,0,0.01096159964799881,0.3605571985244751,-0.16484928131103516,0.010205687955021858,nan,nan,nan
58368,104.92602820131842,162,1,0,0.0,0.642499976562566,1,0.21758638322353363,0.07920612394809723,-0.1649172306060791,0.02144227735698223,nan,nan,nan
59392,105.05009010756768,176,1,0,0.0,0.2703500034308204,0,0.2764202654361725,0.19890904426574707,-0.16497814655303955,0.010103370063006878,nan,nan,nan
60416,104.58809528230474,178,1,0,0.0,0.1319933321453104,0,-0.08494827896356583,0.5178518295288086,-0.16521787643432617,0.01325113233178854,nan,nan,nan
61440,-3.241143418172002,360,0,0,0.2010955236459278,0.03010762996978167,65,0.15424489974975586,0.9013831615447998,-0.16537213325500488,0.02230123057961464,0.6666666666666666,0.0,11.516666666666582
62464,101.21539307978168,159,1,0,0.0,0.642499976562566,1,0.017893286421895027,0.33678728342056274,-0.16543591022491455,0.010488470084965229,nan,nan,nan
63488,103.42588580342502,177,1,0,0.0,0.29347827380141034,0,0.10072353482246399,0.6232351064682007,-0.16549336910247803,0.0222068652510643,nan,nan,nan
64512,101.51491054039128,165,1,0,0.0,0.642499976562566,1,0.11818809807300568,0.4756484031677246,-0.16562223434448242,0.028377288952469826,nan,nan,nan
65536,102.48839359386324,180,1,0,0.0,0.3428553593522451,0,0.009015526622533798,0.5388497114181519,-0.16565346717834473,0.011129966005682945,nan,nan,nan
66560,26.108635889746942,360,0,0,0.0,0.030858340164518494,23,-0.1471005231142044,0.3647131323814392,-0.16575098037719727,0.020932506769895554,1.0,0.0,8.583333333333195
67584,100.18031945531521,166,1,0,0.0,0.642499976562566,1,-0.12886780500411987,0.49270302057266235,-0.16571855545043945,0.01189969852566719,nan,nan,nan
68608,101.93170087196376,187,1,0,0.0,0.20193474801163513,0,-0.07730244845151901,0.35948026180267334,-0.165702223777771,0.01155780628323555,nan,nan,nan
69632,103.09302345313124,184,1,0,0.0,0.41277285325264335,0,0.12237924337387085,0.22474949061870575,-0.16588830947875977,0.017807351425290108,nan,nan,nan
70656,101.69397766099377,188,1,0,0.0,0.15398572174978054,0,0.03225382789969444,0.1884119212627411,-0.16592586040496826,0.010884554125368595,nan,nan,nan
71680,104.97278493244944,187,1,0,0.0,0.2613083182792292,0,0.24132367968559265,0.12525931000709534,-0.1661466360092163,0.01069667562842369,1.0,0.0,8.683333333333193
72704,102.9043121342065,169,1,0,0.0,0.642499976562566,0,-0.2733747959136963,0.13545796275138855,-0.16622686386108398,0.017664816230535507,nan,nan,nan
73728,-43.5956870243548,360,0,0,0.26460260837093214,0.035397391629067854,157,-0.1897357702255249,0.24210549890995026,-0.16637074947357178,0.022400224581360817,nan,nan,nan
74752,99.79168001299988,189,1,0,0.0,0.12268630593105778,0,0.01841638796031475,0.3123396635055542,-0.16647982597351074,0.02206186018884182,nan,nan,nan
