policy,scenario_id,seed,shield_enabled,success,collision,terminated,truncated,failure_type,episode_time,steps,path_length,path_length_ratio,minimum_clearance,mean_cross_track_error,max_cross_track_error,idle_time,angular_oscillation,total_abs_rotation,action_smoothness,shield_pass,shield_clamp,shield_stop,shield_interventions,unsafe_without_shield,shield_sustained_time,safety_cost,inference_ms,simulation_steps_per_second
ppo,S0,1001,False,1,0,1,0,,7.849999999999877,157,9.806191133590248,0.9806191133590249,0.642499976562566,0.1659276297164637,0.22514825443185593,0.0,1,0.4166580398917722,7.372533582383767e-05,157,0,0,0,0,0.0,0.0,0.12464306374643276,783.8801957827945
bc_dagger,S0,1001,False,1,0,1,0,,11.149999999999807,223,10.274569745248424,1.0274569745248425,0.642499976562566,0.7262998784077724,1.3485661354907328,0.0,2,1.555926409432431,3.538655073498376e-05,223,0,0,0,0,0.0,0.0,0.15943475795407036,558.5761318318337
lite_rule_baseline,S0,1001,True,1,0,1,0,,8.299999999999867,166,9.761245329380042,0.9761245329380042,0.6424999999999997,0.0,0.0,0.0,0,0.0,0.0004686947213485837,166,0,0,0,0,0.0,0.0,0.05609633738360177,587.7746408406925
bc,S0,1001,True,1,0,1,0,,8.19999999999987,164,9.76176827778746,0.976176827778746,0.6424999992993637,0.03694966315503432,0.06382490030154386,0.0,0,0.13716597204838765,8.710504334885627e-05,164,0,0,0,0,0.0,0.0,0.10083231099110335,686.9522349255785
ppo,S0,1001,True,1,0,1,0,,7.849999999999877,157,9.806191133590248,0.9806191133590249,0.642499976562566,0.1659276297164637,0.22514825443185593,0.0,1,0.4166580398917722,7.372533582383767e-05,157,0,0,0,0,0.0,0.0,0.1303083947138597,766.3902887552807
bc_dagger,S0,1001,True,1,0,1,0,,11.149999999999807,223,10.274569745248424,1.0274569745248425,0.642499976562566,0.7262998784077724,1.3485661354907328,0.0,2,1.555926409432431,3.538655073498376e-05,223,0,0,0,0,0.0,0.0,0.08685502232545193,791.3832685040823
lite_rule_baseline,S1,1000,False,1,0,1,0,,9.199999999999848,184,10.098341490016947,0.9766931588556713,0.0541077302356775,0.021743939331250964,0.12799673317418922,0.0,1,1.9287784834461674,0.0026627960614860058,184,0,0,0,0,0.0,5.9041269277269235,0.034808212267703115,688.6913787738465
bc,S1,1000,False,1,0,1,0,,8.899999999999855,178,10.108500303271528,0.9776757007332311,0.052624704141387146,0.05495857705703331,0.12503735741782745,0.0,1,1.8656545468140389,0.0017426395788788795,178,0,0,0,0,0.0,5.089030203809914,0.0996497977038406,656.7045981044392
ppo,S1,1000,False,1,0,1,0,,8.549999999999862,171,10.319953167927252,0.9981270358889938,0.12558226312815624,0.14471447324815753,0.21328402310903918,0.0,1,2.198466428483952,0.0024085361510515213,171,0,0,0,0,0.0,2.7989672347130363,0.14104363737864098,640.2893658637171
bc_dagger,S1,1000,False,0,0,0,1,TIMEOUT,18.000000000000014,360,17.367605516362552,1.6797631086554645,0.43376527689422895,1.6800099697017177,5.083548207213856,0.0,3,7.01138033317402,0.0003432339581195265,360,0,0,0,0,0.0,0.0,0.10660822769447502,589.0435851168353
lite_rule_baseline,S1,1000,True,1,0,1,0,,9.199999999999848,184,10.098341490016947,0.9766931588556713,0.0541077302356775,0.021743939331250964,0.12799673317418922,0.0,1,1.9287784834461674,0.0026627960614860058,184,0,0,0,0,0.0,5.9041269277269235,0.03701700546551602,661.9443175345551
bc,S1,1000,True,1,0,1,0,,8.899999999999855,178,10.108500303271528,0.9776757007332311,0.052624704141387146,0.05495857705703331,0.12503735741782745,0.0,1,1.8656545468140389,0.0017426395788788795,178,0,0,0,0,0.0,5.089030203809914,0.08679448867777854,720.6527565754228
ppo,S1,1000,True,1,0,1,0,,8.549999999999862,171,10.319953167927252,0.9981270358889938,0.12558226312815624,0.14471447324815753,0.21328402310903918,0.0,1,2.198466428483952,0.0024085361510515213,171,0,0,0,0,0.0,2.7989672347130363,0.14505045607104647,641.9404856300937
bc_dagger,S1,1000,True,0,0,0,1,TIMEOUT,18.000000000000014,360,17.367605516362552,1.6797631086554645,0.43376527689422895,1.6800099697017177,5.083548207213856,0.0,3,7.01138033317402,0.0003432339581195265,360,0,0,0,0,0.0,0.0,1.342625100035851,169.73477661547767
lite_rule_baseline,S1,1001,False,1,0,1,0,,9.199999999999848,184,10.098341490016947,0.9766931588556713,0.0541077302356775,0.021743939331250964,0.12799673317418922,0.0,1,1.9287784834461674,0.0026627960614860058,184,0,0,0,0,0.0,5.9041269277269235,0.20966260320204563,157.8171036025067
bc,S1,1001,False,1,0,1,0,,8.899999999999855,178,10.108500303271528,0.9776757007332311,0.052624704141387146,0.05495857705703331,0.12503735741782745,0.0,1,1.8656545468140389,0.0017426395788788795,178,0,0,0,0,0.0,5.089030203809914,0.5603534831852506,320.3047573811266
ppo,S1,1001,False,1,0,1,0,,8.549999999999862,171,10.319953167927252,0.9981270358889938,0.12558226312815624,0.14471447324815753,0.21328402310903918,0.0,1,2.198466428483952,0.0024085361510515213,171,0,0,0,0,0.0,2.7989672347130363,0.35828264292815637,459.68689360172164
bc_dagger,S1,1001,False,0,0,0,1,TIMEOUT,18.000000000000014,360,17.367605516362552,1.6797631086554645,0.43376527689422895,1.6800099697017177,5.083548207213856,0.0,3,7.01138033317402,0.0003432339581195265,360,0,0,0,0,0.0,0.0,0.11381320001520281,626.1505701532301
