policy,scenario_id,seed,shield_enabled,success,collision,terminated,truncated,failure_type,episode_time,steps,path_length,path_length_ratio,minimum_clearance,mean_cross_track_error,max_cross_track_error,idle_time,angular_oscillation,total_abs_rotation,action_smoothness,shield_pass,shield_clamp,shield_stop,shield_interventions,unsafe_without_shield,shield_sustained_time,safety_cost,inference_ms,simulation_steps_per_second
bc,S4,1001,True,1,0,1,0,,8.19999999999987,164,9.798782252608717,0.9798782252608718,0.08545606912008752,0.03604147323611273,0.10454393087991232,0.0,0,0.24639475887961446,0.00017555667727719992,164,0,0,0,0,0.0,7.966831498133853,0.06163543300162263,938.4253682321208
ppo,S4,1001,True,0,0,0,1,TIMEOUT,18.000000000000014,360,7.388260283409649,0.7388260283409649,0.44944241191639733,0.3264008488268239,0.680932412707925,0.0,1,10.679762773178513,0.0006454859976656735,360,0,0,0,0,0.0,0.0,0.07298715280133668,918.7770253982154
bc_dagger,S4,1001,True,1,0,1,0,,12.099999999999786,242,10.597355867156121,1.0597355867156122,0.642499976562566,0.8455453812661616,1.7496732246356586,0.0,1,2.20194002720702,0.00022191459720488638,242,0,0,0,0,0.0,0.0,0.05904253301812502,939.6317324666504
lite_rule_baseline,S5,1000,False,1,0,1,0,,9.049999999999851,181,10.434929807002693,0.9759785483871608,0.08041612935618364,0.006885738310750025,0.05823718477871802,0.0,1,1.0199308165237089,0.0016420953907072544,181,0,0,0,0,0.0,5.880767801205137,0.02393971831400786,972.8419453851967
bc,S5,1000,False,1,0,1,0,,9.54999999999984,191,10.630041588784179,0.9942273451762429,0.17318136110698956,0.13307955946505107,0.30514730332152606,0.0,2,1.6213248929055417,0.0007337149581871927,191,0,0,0,0,0.0,1.1721183071551238,0.061735795797942895,934.8451270250645
ppo,S5,1000,False,0,1,1,0,COLLISION_STATIC,10.889999999999812,218,5.067387598550948,0.47395255013885296,-0.0033857989578609526,1.0354935605698672,1.9690941581033115,0.0,3,7.015312721394001,0.0009404050069861114,218,0,0,0,20,0.0,13.97080283277848,0.07181671106148674,931.6196198996802
bc_dagger,S5,1000,False,0,1,1,0,COLLISION_STATIC,3.0699999999999785,62,3.283685703462146,0.30712298649809516,-0.00047758036917239233,0.6794682090892182,1.6115691968421249,0.0,0,0.3555147363057766,0.00016408726514782757,62,0,0,0,15,0.0,2.5771439541575614,0.059720451615923535,954.0290045073036
lite_rule_baseline,S5,1000,True,1,0,1,0,,9.049999999999851,181,10.434929807002693,0.9759785483871608,0.08041612935618364,0.006885738310750025,0.05823718477871802,0.0,1,1.0199308165237089,0.0016420953907072544,181,0,0,0,0,0.0,5.880767801205137,0.02395602767449001,972.87026564461
bc,S5,1000,True,1,0,1,0,,9.54999999999984,191,10.630041588784179,0.9942273451762429,0.17318136110698956,0.13307955946505107,0.30514730332152606,0.0,2,1.6213248929055417,0.0007337149581871927,191,0,0,0,0,0.0,1.1721183071551238,0.059955287943773965,934.5386683635029
ppo,S5,1000,True,0,0,0,1,TIMEOUT,18.000000000000014,360,4.901208644419159,0.4584098395096738,0.03257195687739317,1.2210810065380397,1.8778979590320997,5.4999999999999885,3,7.360959451901724,0.0005769825074821711,215,62,83,145,145,6.550000000000001,48.829945818173954,0.0720925888294409,888.9782432747553
bc_dagger,S5,1000,True,0,0,0,1,TIMEOUT,18.000000000000014,360,12.055293043310407,1.1275310541040895,0.030326923354898894,2.3888494279679144,4.424484973685539,0.0,1,3.226192845077019,0.00020003698591608554,336,24,0,24,24,0.1,11.489695893034183,0.0596304221896086,926.4927712671881
lite_rule_baseline,S5,1001,False,1,0,1,0,,9.049999999999851,181,10.434929807002693,0.9759785483871608,0.08041612935618364,0.006885738310750025,0.05823718477871802,0.0,1,1.0199308165237089,0.0016420953907072544,181,0,0,0,0,0.0,5.880767801205137,0.023937607683319834,973.2386262764956
bc,S5,1001,False,1,0,1,0,,9.54999999999984,191,10.630041588784179,0.9942273451762429,0.17318136110698956,0.13307955946505107,0.30514730332152606,0.0,2,1.6213248929055417,0.0007337149581871927,191,0,0,0,0,0.0,1.1721183071551238,0.060744586406630365,936.2008895352504
ppo,S5,1001,False,0,1,1,0,COLLISION_STATIC,10.889999999999812,218,5.067387598550948,0.47395255013885296,-0.0033857989578609526,1.0354935605698672,1.9690941581033115,0.0,3,7.015312721394001,0.0009404050069861114,218,0,0,0,20,0.0,13.97080283277848,0.07279511021664836,926.3018209661734
